한글명,추가명,표준코드,추가필터링,
헬릭스미스,,KR7084990001,,
현대ADM,,KR7187660006,,
현대건설,,KR7000720003,,
현대공업,,KR7170030001,,
현대그린푸드,,KR7453340002,,
현대글로비스,,KR7086280005,,
현대로템,,KR7064350002,,
현대리바트,,KR7079430005,,
현대모비스,,KR7012330007,,
현대무벡스,,KR7319400008,,
현대바이오,,KR7048410005,,
현대바이오랜드,,KR7052260007,,
현대백화점,,KR7069960003,,
현대비앤지스틸,,KR7004560009,,
현대사료,,KR7016790008,,
현대약품,,KR7004310009,,
현대에버다임,,KR7041440009,,
현대에이치티,현대HT,KR7039010004,,
현대엘리베이터,,KR7017800004,,
현대오토에버,,KR7307950006,,
현대위아,,KR7011210002,,
현대이지웰,,KR7090850009,,
현대제철,,KR7004020004,,
현대지에프홀딩스,,KR7005440003,,
현대차,현대자동차,KR7005380001,,
현대차증권,,KR7001500008,,
현대코퍼레이션,,KR7011760006,,
현대코퍼레이션홀딩스,,KR7227840006,,
현대퓨처넷,,KR7126560002,,
현대해상,,KR7001450006,,
현대홈쇼핑,,KR7057050007,,
현대힘스,,KR7460930001,,
현우산업,,KR7092300003,,
협진,,KR7138360003,,
형지I&C,,KR7011080009,,
형지글로벌,,KR7308100007,,
형지엘리트,,KR7093240000,,
혜인,,KR7003010006,1,
호전실업,,KR7111110003,,
호텔신라,,KR7008770000,,
홈캐스트,,KR7064240005,,
화성밸브,,KR7039610001,,
화승알앤에이,,KR7378850002,,
화승엔터프라이즈,,KR7241590009,,
화승인더,,KR7006060008,,
화승코퍼레이션,,KR7013520002,,
화신,,KR7010690006,,
화신정공,,KR7126640002,,
화인베스틸,,KR7133820001,,
화인써키트,,KR7127980001,,
화일약품,,KR7061250007,,
화천기계,,KR7010660009,,
화천기공,,KR7000850008,,
환인제약,,KR7016580003,,
황금에스티,,KR7032560005,,
효성,,KR7004800009,,
효성ITX,,KR7094280005,,
효성오앤비,,KR7097870000,,
효성중공업,,KR7298040007,,
효성티앤씨,"효성 TNC,효성TNC",KR7298020009,,
효성화학,,KR7298000001,,
후성,,KR7093370005,,
휴네시온,,KR7290270008,,
휴니드,,KR7005870001,,
휴럼,,KR7353190002,,
휴림로봇,,KR7090710005,,
휴림에이텍,,KR7078590007,,
휴마시스,,KR7205470008,,
휴맥스,,KR7115160004,,
휴맥스홀딩스,,KR7028080000,,
휴먼테크놀로지,,KR7175140003,,
휴메딕스,,KR7200670008,,
휴비스,,KR7079980009,,
휴비츠,,KR7065510000,,
휴스틸,,KR7005010004,,
휴엠앤씨,,KR7263920001,,
휴온스,,KR7243070000,,
휴온스글로벌,,KR7084110006,,
휴젤,,KR7145020004,,
흥구석유,,KR7024060006,,
흥국,,KR7010240000,,
흥국에프엔비,,KR7189980006,,
흥국화재,,KR7000540005,,
흥아해운,,KR7003280005,,
희림,,KR7037440005,,
힘스,,KR7238490007,,
